icao24,callsign,paese,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp_raccolta
4b1fa1,HBLZL   ,Switzerland,1787658032,1787658034,8.9449,46.1465,876.3,False,57.36,55.6,-2.93,,937.26,7000,False,0,2026-08-25 11:43:14.978701
34568d,VOE1DT  ,Spain,1787658187,1787658188,14.5322,37.5196,1988.82,False,160.93,130.46,-9.43,,2209.8,5120,False,0,2026-08-25 11:43:14.978701
345698,ANE2228 ,Spain,1787657927,1787657932,7.2075,43.6577,,True,0.0,315.0,,,,1000,False,0,2026-08-25 11:43:14.978701
7380c5,ELY008  ,Israel,1787658188,1787658188,7.3249,44.9696,11277.6,False,286.57,100.34,-0.33,,11765.28,0437,False,0,2026-08-25 11:43:14.978701
345643,VLG4CA  ,Spain,1787658187,1787658188,14.141,39.5772,11277.6,False,250.91,104.12,0.0,,11948.16,1415,False,0,2026-08-25 11:43:14.978701
345613,VOE2149 ,Spain,1787658188,1787658188,10.2115,43.2651,10980.42,False,207.6,312.19,0.0,,11506.2,1000,False,0,2026-08-25 11:43:14.978701
39dd02,TVF48RW ,France,1787658188,1787658188,11.4786,39.048,11597.64,False,208.59,324.23,-0.33,,12268.2,6573,False,0,2026-08-25 11:43:14.978701
39dd04,TVF8099 ,France,1787658188,1787658188,11.6444,38.9176,11582.4,False,223.47,11.28,0.0,,12245.34,6166,False,0,2026-08-25 11:43:14.978701
4066b9,EXS42UD ,United Kingdom,1787658187,1787658188,13.1112,46.6835,10363.2,False,212.91,302.77,0.33,,10759.44,1345,False,0,2026-08-25 11:43:14.978701
4bb267,THY40B  ,Turkey,1787658182,1787658185,16.5885,42.7174,10363.2,False,213.77,229.29,0.0,,10904.22,2311,False,0,2026-08-25 11:43:14.978701
506cde,S5CSS   ,Slovenia,1787658188,1787658188,7.1662,43.4182,1531.62,False,142.66,95.59,0.65,,1638.3,,False,0,2026-08-25 11:43:14.978701
44cdcc,BEL3KH  ,Belgium,1787658188,1787658188,8.8199,43.967,11285.22,False,259.0,134.84,0.0,,11811.0,4615,False,0,2026-08-25 11:43:14.978701
4bb279,THY8TY  ,Turkey,1787658188,1787658188,14.5952,38.4719,10363.2,False,213.78,254.79,0.0,,11010.9,2304,False,0,2026-08-25 11:43:14.978701
4bb285,THY7CT  ,Turkey,1787658187,1787658187,7.5383,40.066,9753.6,False,250.71,43.59,-0.33,,10363.2,2361,False,0,2026-08-25 11:43:14.978701
